episode,reward,length,success_rate,stage,time
0,0,0,0.0,1,0.8432509899139404
1,0,0,0.0,1,0.8792154788970947
2,0,0,0.0,1,0.9297785758972168
3,0,0,0.0,1,0.9645957946777344
4,0,0,0.0,1,0.991802453994751
5,0,0,0.0,1,0.996835470199585
6,0,0,0.0,1,1.0237512588500977
7,0,0,0.0,1,1.0373146533966064
8,0,0,0.0,1,1.0578458309173584
9,0,0,0.0,1,1.1164724826812744
10,0,0,0.0,1,1.1164779663085938
11,0,0,0.0,1,1.1261076927185059
12,0,0,0.0,1,1.1691641807556152
13,0,0,0.0,1,1.204540729522705
14,0,0,0.0,1,1.2140610218048096
15,0,0,0.0,1,1.2191567420959473
16,0,0,0.0,1,1.2417402267456055
17,0,0,0.0,1,1.2532603740692139
18,0,0,0.0,1,1.283451795578003
19,0,0,0.0,1,1.29268479347229
20,0,0,0.0,1,1.3115341663360596
21,0,0,0.0,1,1.329498529434204
22,0,0,0.0,1,1.3347129821777344
23,0,0,0.0,1,1.3552558422088623
24,0,0,0.0,1,1.3752799034118652
25,0,0,0.0,1,1.3849263191223145
26,0,0,0.0,1,1.3987462520599365
27,0,0,0.0,1,1.4213755130767822
28,0,0,0.0,1,1.465404987335205
29,0,0,0.0,1,1.4946560859680176
30,0,0,0.0,1,1.5045301914215088
31,0,0,0.0,1,1.59470796585083
32,0,0,0.0,1,1.594714641571045
33,0,0,0.0,1,1.6287941932678223
34,0,0,0.0,1,1.638087511062622
35,0,0,0.0,1,1.643014669418335
36,0,0,0.0,1,1.6685388088226318
37,0,0,0.0,1,1.6786901950836182
38,0,0,0.0,1,1.6985127925872803
39,0,0,0.0,1,1.726100206375122
40,0,0,0.0,1,1.7261064052581787
41,0,0,0.0,1,1.8026180267333984
42,0,0,0.0,1,1.8399512767791748
43,0,0,0.0,1,1.899637222290039
44,0,0,0.0,1,1.8996431827545166
45,0,0,0.0,1,1.9053285121917725
46,0,0,0.0,1,1.941680908203125
47,0,0,0.0,1,1.9556214809417725
48,0,0,0.0,1,1.9881534576416016
49,0,0,0.0,1,1.9934484958648682
50,0,0,0.0,1,2.5545763969421387
51,0,0,0.0,1,2.5800726413726807
52,0,0,0.0,1,2.6131978034973145
53,0,0,0.0,1,2.665689468383789
54,0,0,0.0,1,2.6996328830718994
55,0,0,0.0,1,2.727529764175415
56,0,0,0.0,1,2.7500345706939697
57,0,0,0.0,1,2.755809783935547
58,0,0,0.0,1,2.8294801712036133
59,0,0,0.0,1,2.857846975326538
60,0,0,0.0,1,2.942087411880493
61,0,0,0.0,1,2.980613946914673
62,0,0,0.0,1,2.9806201457977295
63,0,0,0.0,1,2.9966015815734863
64,0,0,0.0,1,3.0273241996765137
65,0,0,0.0,1,3.0273303985595703
66,0,0,0.0,1,3.0711941719055176
67,0,0,0.0,1,3.077223062515259
68,0,0,0.0,1,3.103503465652466
69,0,0,0.0,1,3.1088201999664307
70,0,0,0.0,1,3.146897315979004
71,0,0,0.0,1,3.195378065109253
72,0,0,0.0,1,3.2007269859313965
73,0,0,0.0,1,3.259429454803467
74,0,0,0.0,1,3.2978298664093018
75,0,0,0.0,1,3.3131942749023438
76,0,0,0.0,1,3.329617738723755
77,0,0,0.0,1,3.367002248764038
78,0,0,0.0,1,3.372659206390381
79,0,0,0.0,1,3.409363031387329
80,0,0,0.0,1,3.41534686088562
81,0,0,0.0,1,3.4305214881896973
82,0,0,0.0,1,3.4568543434143066
83,0,0,0.0,1,3.4838809967041016
84,0,0,0.0,1,3.5161638259887695
85,0,0,0.0,1,3.5411794185638428
86,0,0,0.0,1,3.5795228481292725
87,0,0,0.0,1,3.5960323810577393
88,0,0,0.0,1,3.6207008361816406
89,0,0,0.0,1,3.6719799041748047
90,0,0,0.0,1,3.6894500255584717
91,0,0,0.0,1,3.705094814300537
92,0,0,0.0,1,3.73945951461792
93,0,0,0.0,1,3.770937442779541
94,0,0,0.0,1,3.852085590362549
95,0,0,0.0,1,3.862781286239624
96,0,0,0.0,1,3.931328773498535
97,0,0,0.0,1,3.9585726261138916
98,0,0,0.0,1,3.9653308391571045
99,0,0,0.0,1,3.9780993461608887
100,0,0,0.0,1,4.339528560638428
101,0,0,0.0,1,4.386788368225098
102,0,0,0.0,1,4.4500977993011475
103,0,0,0.0,1,4.456393003463745
104,0,0,0.0,1,4.496653079986572
105,0,0,0.0,1,4.556852579116821
106,0,0,0.0,1,4.556858539581299
107,0,0,0.0,1,4.569628953933716
108,0,0,0.0,1,4.611383676528931
109,0,0,0.0,1,4.66691255569458
110,0,0,0.0,1,4.6725263595581055
111,0,0,0.0,1,4.700488567352295
112,0,0,0.0,1,4.721165180206299
